loc_rowid,pl_name,hostname,discoverymethod,disc_year
1,11 Com b,11 Com,Radial Velocity,2007
2,11 Com b,11 Com,Radial Velocity,2007
3,11 Com b,11 Com,Radial Velocity,2007
4,11 UMi b,11 UMi,Radial Velocity,2009
5,11 UMi b,11 UMi,Radial Velocity,2009
6,11 UMi b,11 UMi,Radial Velocity,2009
7,14 And b,14 And,Radial Velocity,2008
8,14 And b,14 And,Radial Velocity,2008
9,14 And b,14 And,Radial Velocity,2008
10,14 Her b,14 Her,Radial Velocity,2002
11,14 Her b,14 Her,Radial Velocity,2002
12,14 Her b,14 Her,Radial Velocity,2002
13,14 Her b,14 Her,Radial Velocity,2002
14,14 Her b,14 Her,Radial Velocity,2002
15,14 Her b,14 Her,Radial Velocity,2002
16,14 Her b,14 Her,Radial Velocity,2002
17,14 Her b,14 Her,Radial Velocity,2002
18,16 Cyg B b,16 Cyg B,Radial Velocity,1996
19,16 Cyg B b,16 Cyg B,Radial Velocity,1996
20,16 Cyg B b,16 Cyg B,Radial Velocity,1996
21,16 Cyg B b,16 Cyg B,Radial Velocity,1996
22,16 Cyg B b,16 Cyg B,Radial Velocity,1996
23,16 Cyg B b,16 Cyg B,Radial Velocity,1996
24,17 Sco b,17 Sco,Radial Velocity,2020
25,18 Del b,18 Del,Radial Velocity,2008
26,18 Del b,18 Del,Radial Velocity,2008
27,18 Del b,18 Del,Radial Velocity,2008
28,1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008
30,1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008
31,1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008
32,24 Boo b,24 Boo,Radial Velocity,2018
33,24 Boo b,24 Boo,Radial Velocity,2018
34,24 Sex b,24 Sex,Radial Velocity,2010
35,24 Sex c,24 Sex,Radial Velocity,2010
36,2M0437 b,2MASS J04372171+2651014,Imaging,2021
37,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013
38,2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013
39,2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013
40,2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015
41,2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010
42,2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004
43,2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004
44,2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015
45,2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015
46,2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016
47,30 Ari B b,30 Ari B,Radial Velocity,2009
48,30 Ari B b,30 Ari B,Radial Velocity,2009
49,30 Ari B b,30 Ari B,Radial Velocity,2009
50,4 UMa b,4 UMa,Radial Velocity,2006
51,4 UMa b,4 UMa,Radial Velocity,2006
52,42 Dra b,42 Dra,Radial Velocity,2008
53,47 UMa b,47 UMa,Radial Velocity,1996
54,47 UMa b,47 UMa,Radial Velocity,1996
55,47 UMa b,47 UMa,Radial Velocity,1996
56,47 UMa b,47 UMa,Radial Velocity,1996
57,47 UMa b,47 UMa,Radial Velocity,1996
58,47 UMa c,47 UMa,Radial Velocity,2001
59,47 UMa c,47 UMa,Radial Velocity,2001
60,47 UMa c,47 UMa,Radial Velocity,2001
61,47 UMa d,47 UMa,Radial Velocity,2009
62,47 UMa d,47 UMa,Radial Velocity,2009
63,51 Eri b,51 Eri,Imaging,2015
64,51 Eri b,51 Eri,Imaging,2015
65,51 Eri b,51 Eri,Imaging,2015
66,51 Peg b,51 Peg,Radial Velocity,1995
67,51 Peg b,51 Peg,Radial Velocity,1995
68,51 Peg b,51 Peg,Radial Velocity,1995
69,51 Peg b,51 Peg,Radial Velocity,1995
70,51 Peg b,51 Peg,Radial Velocity,1995
71,55 Cnc b,55 Cnc,Radial Velocity,1996
72,55 Cnc b,55 Cnc,Radial Velocity,1996
73,55 Cnc b,55 Cnc,Radial Velocity,1996
74,55 Cnc b,55 Cnc,Radial Velocity,1996
75,55 Cnc b,55 Cnc,Radial Velocity,1996
76,55 Cnc b,55 Cnc,Radial Velocity,1996
77,55 Cnc b,55 Cnc,Radial Velocity,1996
78,55 Cnc b,55 Cnc,Radial Velocity,1996
79,55 Cnc b,55 Cnc,Radial Velocity,1996
80,55 Cnc b,55 Cnc,Radial Velocity,1996
81,55 Cnc b,55 Cnc,Radial Velocity,1996
82,55 Cnc b,55 Cnc,Radial Velocity,1996
83,55 Cnc c,55 Cnc,Radial Velocity,2004
84,55 Cnc c,55 Cnc,Radial Velocity,2004
85,55 Cnc c,55 Cnc,Radial Velocity,2004
86,55 Cnc c,55 Cnc,Radial Velocity,2004
87,55 Cnc c,55 Cnc,Radial Velocity,2004
88,55 Cnc c,55 Cnc,Radial Velocity,2004
89,55 Cnc c,55 Cnc,Radial Velocity,2004
90,55 Cnc c,55 Cnc,Radial Velocity,2004
91,55 Cnc d,55 Cnc,Radial Velocity,2002
92,55 Cnc d,55 Cnc,Radial Velocity,2002
93,55 Cnc d,55 Cnc,Radial Velocity,2002
94,55 Cnc d,55 Cnc,Radial Velocity,2002
95,55 Cnc d,55 Cnc,Radial Velocity,2002
96,55 Cnc d,55 Cnc,Radial Velocity,2002
97,55 Cnc d,55 Cnc,Radial Velocity,2002
